OBJECTID,Join_Count,TARGET_FID,Field1,lat,lon,diam,radius,BUFF_DIST,ORIG_FID,Group_ID,Central_La,Central_Lo,Geodesic_a,Shape_Length,Shape_Area
204,0,204,1,7.038765,-67.465904,43.07811,21.539055 Kilometer,21539.055,203,,,,,3.19051478,0.809907217
205,0,205,1,-11.534374,-29.243206,43.070647,21.5353235 Kilometer,21535.3235,204,,,,,3.210718941,0.820086768
206,0,206,1,-10.900359,-38.099708,42.847292,21.423646 Kilometer,21423.646,205,,,,,3.190515121,0.809824009
207,0,207,1,-4.905299,-33.341157,42.839662,21.419831 Kilometer,21419.831,206,,,,,3.166653968,0.797851582
208,0,208,1,1.502789,-66.61483,42.816585,21.4082925 Kilometer,21408.2925,207,,,,,3.159682217,0.794346327
209,0,209,1,21.7168,-53.038958,42.813528,21.406764 Kilometer,21406.764,208,,,,,3.280694912,0.854618213
210,0,210,1,3.379674,-21.9094,42.801176,21.400588 Kilometer,21400.588,209,,,,,3.160753425,0.794884144
211,0,211,1,-11.331353,-32.951453,42.780228,21.390114 Kilometer,21390.114,210,,,,,3.187909832,0.808484997
212,0,212,1,9.807044,-28.585661,42.691598,21.345799 Kilometer,21345.799,211,,,,,3.173316634,0.801151337
213,0,213,1,35.865462,-43.123581,42.315258,21.157629 Kilometer,21157.629,212,,,,,3.496967872,0.957048472
